x,y,z
0,0,0
-5.905972625,-9.540467767,3.429613978
-5.942296646,-9.533665685,3.433706195
-6.036076927,-9.618263937,3.470828922
-5.942958733,-9.405668857,3.400675687
-6.133990912,-9.64236996,3.49304405
-6.153744859,-9.608204856,3.487490328
-6.136039728,-9.452351734,3.444521342
-6.228057642,-9.403449355,3.447444588
-6.066062317,-9.037907892,3.327014835
-6.085731112,-9.007369107,3.322630318
-6.331688984,-9.309707643,3.441306027
-6.339692042,-9.260252103,3.430198581
-6.073366279,-9.634992481,3.346904978
-6.141242061,-8.911603341,3.308015021
-6.148138373,-9.687600473,3.371715532
-6.21597476,-8.961083248,3.333445462
-6.140119868,-9.609673528,3.351134048
-6.339793848,-9.079973634,3.384891184
-6.159192156,-9.574652583,3.345495211
-6.478308402,-9.284915165,2.987062634
-6.282939159,-8.93998737,3.339876324
-6.205226512,-9.581480956,3.354517209
-6.33298069,-8.952679748,3.351860675
-6.076867946,-9.320485342,3.269653544
-6.365963682,-8.940999216,3.354783924
-6.242842147,-9.511142436,3.34323977
-6.881322357,-9.671606466,3.131709041
-6.514246198,-9.090107371,3.418213996
-6.641124753,-9.207362951,3.469952018
-6.192682666,-9.309694437,3.285724148
-6.731702967,-9.272847504,3.502397688
-6.232959588,-9.308190498,3.29192661
-6.786072867,-9.28767111,3.51584378
-6.315114062,-9.368581146,3.320120562
-6.786207155,-9.22828659,3.501228484
-6.372378386,-9.391239844,3.335063444
-6.9413558,-9.378842164,3.566412599
-6.345423058,-9.290042167,3.306023585
-6.994661891,-9.390480901,3.578981788
-6.310296946,-9.178031887,3.273036707
-6.913645065,-9.288142491,3.054921332
-7.017128397,-9.360560543,3.575766239
-6.446531613,-9.314836356,3.328860749
-7.055604563,-9.35196638,3.580735595
-6.458626308,-9.271396543,3.320402608
-7.089467663,-9.337130546,3.583366305
-6.462253156,-9.216188541,3.307715402
-6.247935433,-9.668356515,3.259369134
-7.129693069,-9.330534573,3.589212331
-6.483858969,-9.186913009,3.304332006
-7.151872438,-9.300278063,3.585997017
-6.44200378,-9.068424261,3.268807636
-6.477419645,-9.889821043,3.347364425
-7.178030401,-9.275266881,3.584827811
-6.544570956,-9.153198945,3.306587681
-7.197050946,-9.241130097,3.580150993
-7.232447852,-9.228038164,3.583658607
-6.357712695,-9.451917698,3.225315093
-7.29309565,-9.188730149,3.585704715
-6.380746927,-9.423603802,3.222318408
-7.714447328,-9.726222251,3.275335015
-7.325429491,-9.171543448,3.587750825
-6.483868636,-9.512907679,3.259641645
-6.469476488,-9.429498453,3.237847087
-7.689211364,-9.573165272,3.239619676
-6.557426296,-9.49511244,3.26726961
-7.518624163,-9.180098679,3.62691966
-7.288869172,-8.844080071,3.502982527
-6.580825198,-9.343891922,3.235939978
-7.368900399,-9.603858101,3.557231889
-6.980198919,-9.657008651,3.373790262
-7.584711471,-8.865378981,3.566120299
-7.546986312,-8.766692323,3.5357205
-7.066500628,-9.589256905,3.372700686
-7.496002037,-9.346851707,3.520861614
-7.246631733,-9.770785005,3.444350004
-6.397742031,-9.337732589,3.088515983
-7.604179004,-9.422363839,3.558077797
-7.27714931,-9.749276939,3.444622513
-7.402002592,-9.114488501,3.450376736
-7.419002843,-9.078363717,3.445301758
-7.226583171,-9.558614301,3.392860411
-7.606481352,-9.24971373,3.519170032
-7.346032705,-9.353604252,3.367524384
-7.393105091,-9.295551983,3.362893102
-7.537025097,-9.417057308,3.415199993
-7.69624384,-9.555749858,3.474045038
-7.721888951,-9.527607681,3.472410438
-7.674032998,-9.234549465,3.399671315
-7.374582469,-8.819021451,3.255010126
-7.508774733,-8.923721903,3.302140948
-7.690127107,-9.866818439,3.413345801
-7.599053207,-8.93090023,3.199600446
-5.880526034,-6.188840128,2.609406146
-5.826791205,-6.094732393,2.577252776
-5.797064634,-6.026514547,2.555914315
-5.903983359,-6.100096174,2.594790851
-5.852615024,-6.010014908,2.564098985
-5.865002188,-5.985883095,2.561468273
-5.885353004,-5.969904727,2.562345177
-6.06793857,-6.159197374,2.281177942
-5.91576364,-5.964041998,2.567606601
-5.932681696,-5.94451073,2.567021997
-6.148633015,-6.164979923,2.297249973
-5.905490878,-5.88106849,2.547437581
-6.038756997,-6.017773608,2.249289457
-5.930302502,-5.869650606,2.550360592
-5.990552728,-5.93321846,2.224543992
-5.936011073,-5.839357127,2.54509917
-5.963937749,-5.87072181,2.207961979
-5.959368355,-5.826466762,2.54743758
-6.008875549,-5.878768447,2.217911186
-5.971043135,-5.802158048,2.544806869
-5.796756835,-6.076388149,2.467817292
-6.026883036,-5.860305803,2.217911186
-5.988815724,-5.783811692,2.544806868
-5.82600221,-6.069650049,2.47232841
-5.996859216,-5.795424493,2.200308742
-6.019640796,-5.777993738,2.550360593
-5.815269549,-6.021381833,2.459923014
-6.028343504,-5.750916935,2.546560676
-5.843076284,-6.013146024,2.463870037
-5.930893645,-5.661709819,2.1633181
-6.04734687,-5.733711119,2.547145279
-5.862167849,-5.99587704,2.464152084
-6.065376356,-5.754626772,2.205921116
-6.085789007,-5.734806762,2.555914315
-5.871115659,-5.968288827,2.460204828
-6.060491521,-5.714764114,2.197757664
-6.087300141,-5.70107371,2.549191387
-5.90019743,-5.96115838,2.464715944
-6.028609639,-5.64986081,2.179900112
-6.136262792,-5.71169174,2.562345178
-5.891377332,-5.915836135,2.45343827
-6.06855616,-5.652427088,2.188063564
-6.139014721,-5.679201263,2.556206616
-5.9217232,-5.909933081,2.458513248
-6.061034546,-5.610792917,2.179134788
-6.119802132,-5.62668264,2.541006953
-5.90508679,-5.857279004,2.444134459
-6.120913907,-5.6314513,2.194441261
-6.132799934,-5.604010167,2.539252911
-5.936693907,-5.85260619,2.449773062
-6.088212053,-5.566972757,2.17658371
-6.190631129,-6.102946534,2.199367817
-6.163415004,-5.597384178,2.544806869
-5.918299899,-5.798777656,2.434830412
-6.166801661,-5.604193059,2.198522988
-6.1791385,-5.577167325,2.544222266
-5.92162821,-5.766536497,2.428909528
-5.83915143,-6.132951662,2.397668599
-6.273661567,-5.666258451,2.230411473
-6.197643908,-5.559460974,2.544806869
-5.94411777,-5.753013088,2.430883158
-5.82000044,-6.075404729,2.382140157
-6.282381294,-5.639233931,2.227350179
-6.244651835,-5.567149009,2.55708352
-5.92924096,-5.703488464,2.417632088
-5.886020658,-6.10670689,2.401482582
-5.829217059,-5.200256402,2.061019602
-5.846879631,-5.219129611,1.757188121
-6.226628763,-5.516888877,2.54276076
-5.968209574,-5.70582416,2.426372275
-5.867216302,-6.049940117,2.386226415
-5.865401779,-5.200308996,2.068162623
