x,y,z
0,0,0
-5.057771786,-4.132708932,0.242809188
-5.035517753,-4.088825974,0.241137472
-5.125807925,-4.136111827,0.244852406
-5.079222136,-4.072855314,0.242029053
-5.1323336,-4.089636333,0.243960825
-5.12840358,-4.060844029,0.243180689
-5.013450186,-3.966831127,0.004351577
-5.14240898,-4.046327208,0.243254987
-5.091629698,-4.003350539,0.004408754
-5.141415625,-4.020067234,0.242623445
-5.103888062,-3.987711035,0.004408754
-5.171085438,-4.017763002,0.243440729
-5.086872117,-3.949343008,0.004383569
-5.157284558,-3.981726736,0.242214796
-5.137761286,-3.963648708,0.004416922
-5.170268735,-3.966493834,0.242251944
-5.110215675,-3.917447971,0.004382888
-5.270628242,-4.017860206,0.246375543
-5.080048582,-3.869635905,0.004346812
-5.276557469,-3.996844032,0.246078354
-5.010421384,-4.089590652,0.178395421
-5.211499413,-3.944559242,0.004448914
-5.274423076,-3.969820082,0.24540965
-5.04235285,-4.0899427,0.179084734
-5.215584826,-3.922541485,0.004442107
-5.110794275,-3.840379778,-0.229946797
-5.268971499,-3.94045285,0.24459238
-5.053320301,-4.073198653,0.179029584
-5.197154642,-3.883774714,0.004416241
-5.135364643,-3.8342481,-0.230521937
-5.283442357,-3.926057717,0.244703812
-5.06423259,-4.056426399,0.17897445
-5.20503126,-3.864830916,0.004412838
-5.130249213,-3.805971042,-0.229767074
-5.218285401,-3.852847234,0.241137472
-5.089167378,-4.050831135,0.179415599
-5.216863904,-3.848844105,0.004412838
-5.192580198,-3.827570318,-0.232031663
-5.292123322,-3.882334243,0.243997973
-5.110195584,-4.042020014,0.179718912
-5.24558439,-3.845236116,0.004427132
-5.210748612,-3.81634568,-0.232319241
-5.271707406,-3.84253503,0.242512
-5.121000559,-4.025087796,0.179663763
-5.246040067,-3.820882723,0.004417603
-5.226472942,-3.803281524,-0.232498964
-5.294802117,-3.83454955,0.243032095
-5.134900838,-4.010588322,0.179718912
-5.231813634,-3.786009948,0.004395821
-5.241355845,-3.789571127,-0.232642745
-5.318708592,-3.827041976,0.243589338
-5.118751957,-3.972751868,0.178726286
-5.238532941,-3.766438513,0.004391737
-5.061278832,-3.926447399,-0.057467405
-5.269190308,-3.785133896,-0.233361667
-5.318230762,-3.801989046,0.243032095
-5.119042669,-3.947871953,0.178312704
-5.247622324,-3.748605491,0.004389695
-5.023407772,-3.872439352,-0.056902241
-5.295419932,-3.77940049,-0.234008705
-6.768367871,-4.815025149,0.918789308
-5.327425768,-3.783919025,0.242920649
-5.138271611,-3.937620831,0.178560854
-5.263990823,-3.735961039,0.004393779
-5.116235081,-3.919032885,-0.057817269
-5.348565302,-3.792617409,-0.23584195
-6.781485254,-4.793090394,0.918569427
-5.347174803,-3.773318527,0.243292135
-5.147942043,-3.920021553,0.178478137
-5.292590388,-3.731895233,0.004408073
-5.123460276,-3.899684508,-0.057763446
-5.368345616,-3.781945847,-0.236201411
-6.74735256,-4.737991468,0.911972921
-5.362817043,-3.759764115,0.243477892
-5.163929783,-3.907225117,0.178616003
-5.312205114,-3.721377916,0.00441488
-5.1186517,-3.87128066,-0.057575058
-5.366823432,-3.756289534,-0.235626271
-6.624907904,-4.621728504,0.893502573
-6.765267728,-5.093322313,0.852257227
-7.397082195,-5.155623012,0.665136562
-5.398926765,-3.760427891,0.24459238
-5.164706591,-3.882954208,0.178229973
-5.049634184,-4.092726066,0.1174287
-5.340833693,-3.717058863,0.004429174
-5.13050446,-3.855558436,-0.057575058
-5.375861007,-3.738095103,-0.235518431
-6.625168432,-4.591756695,0.891633551
-6.81671446,-5.099362426,0.856763338
-5.452347788,-3.772846746,0.246487003
-5.17499361,-3.865894405,0.178174839
-5.043478487,-4.062162508,0.116995187
-5.375243173,-3.716579873,0.004448233
-5.144712972,-3.841595156,-0.05760197
-5.37743724,-3.714768562,-0.235087087
-6.637587557,-4.570282444,0.89141367
-5.44989753,-3.74647761,0.245855462
-5.200474747,-3.860127901,0.17864357
-5.035621587,-4.03042633,0.116525547
-5.403929865,-3.711961542,0.004462527
-5.161292973,-3.829368172,-0.057655796
-5.388808394,-3.698253248,-0.235087087
-6.6433736,-4.544285237,0.890314202
-7.174149802,-4.9027598,0.641005978
-5.480346381,-3.74270206,0.246709895
-5.207466225,-3.840594999,0.178478137
-5.066743405,-4.029895267,0.11695906
-5.426856573,-3.703256326,0.004472057
-5.180260681,-3.818855775,-0.057736531
-5.412515055,-3.690147521,-0.235626271
-6.653995928,-4.521647667,0.88987444
-5.510823103,-3.738774954,0.247564328
-5.245026483,-3.843507899,0.179360465
-5.104184424,-4.034171119,0.117537083
-5.440675901,-3.688272917,0.004474099
-5.196792882,-3.806490281,-0.057790358
-5.45359788,-3.693699819,-0.236920332
-5.136167041,-3.758503965,-0.288230029
-5.40757888,-3.658402121,-0.473606
-6.668660614,-4.501768431,0.88998441
-7.083381833,-4.777233665,0.630264924
-5.555414417,-3.744190357,0.249050301
-5.267299054,-3.835047393,0.179718912
-5.085870932,-3.994407648,0.116832616
-5.441182631,-3.664302154,0.00446525
-5.210871945,-3.792294085,-0.057817269
-5.459929499,-3.6736037,-0.236704653
-5.161409771,-3.7527156,-0.288999137
-5.444438803,-3.659041355,-0.475848863
-6.66593049,-4.470216528,0.887785536
-7.099661559,-4.75658985,0.630412028
-5.596768704,-3.74714344,0.250387681
-5.283089211,-3.821798843,0.179856763
-5.115442065,-3.992318994,0.117230007
-5.488969888,-3.672057111,0.0044952
-5.216810152,-3.772188089,-0.057754476
-5.478651949,-3.661833468,-0.237028172
-5.225534468,-3.774886693,-0.291939792
-5.439878476,-3.631798568,-0.474474201
-6.649834352,-4.429906393,0.883827608
-6.674424097,-4.803886446,0.82762376
-6.979724379,-4.645272902,0.618493841
-5.870896796,-4.556935101,0.406399994
-5.413751365,-4.523434246,0.318875869
-5.632369211,-3.746003909,0.251465034
-5.290731358,-3.802655512,0.179718912
-5.139517803,-3.985797107,0.117500955
-5.506873025,-3.659627863,0.004500645
-5.231606755,-3.758499,-0.057790358
-5.024852711,-3.89378309,-0.116066118
-5.514004792,-3.661038664,-0.238070598
-5.245206688,-3.764662058,-0.292392191
-5.450163742,-3.614541051,-0.474401841
-6.734677708,-4.456656541,0.893282692
-6.771682784,-4.842419765,0.837837612
-5.905406596,-4.554757458,0.407819627
-5.449123599,-4.524672499,0.320140173
-5.649671317,-3.732562276,0.251725089
-5.306439885,-3.789310617,0.179856763
-5.113707477,-3.940715694,0.116633924
-5.512232708,-3.638859272,0.004495881
-5.26020465,-3.754630717,-0.057978745
-5.110449329,-3.935078212,-0.117763845
-5.479327166,-3.613842427,-0.236093571
-5.31448018,-3.789732537,-0.295604315
-5.452898508,-3.592316149,-0.47367833
-6.607123226,-4.343159648,0.874592464
-5.882896375,-4.508678751,0.405307948
-5.437552305,-4.486951666,0.318650116
-5.669450813,-3.720694748,0.252096575
-5.318040646,-3.773012786,0.179856763
-5.840305989,-3.829759953,0.004753857
-5.271699068,-3.738475161,-0.057978745
-5.124085671,-3.920596396,-0.117800353
-5.503763269,-3.605777651,-0.236668711
-5.325266926,-3.772832631,-0.295559075
-5.476412628,-3.583761993,-0.474763582
-6.676176548,-4.359277407,0.881958585
-5.890346463,-4.485769004,0.404871135
-5.423483945,-4.447444075,0.317024579
-5.70176754,-3.716926832,0.253025305
-5.323054578,-3.752072089,0.179636181
-6.0313427,-3.928624202,0.004899523
-5.3035799,-3.736682523,-0.058203019
-5.141661325,-3.909093296,-0.117928138
-5.513962193,-3.588330211,-0.236632755
-5.343351863,-3.761077181,-0.295920994
-5.532538345,-3.596296728,-0.478670517
-7.253809268,-4.700274162,0.637621805
-5.897710899,-4.462856759,0.404434322
-5.325588234,-4.339909394,0.310522427
-5.724048976,-3.706477536,0.253508252
-5.341909865,-3.740884238,0.179884345
-6.038329553,-3.906842274,0.004895439
-5.333860671,-3.733582729,-0.058409348
-5.15522552,-3.894505909,-0.117964653
-5.536695013,-3.578992153,-0.237136011
-5.345041905,-3.737796439,-0.295378115
-5.537680382,-3.575519194,-0.478164057
-6.632612722,-4.273014029,0.872723441
-7.229619722,-4.653169109,0.634237633
-7.404427832,-5.157215385,0.579091515
-5.864288278,-4.409337197,0.40121284
-5.406419329,-4.378246775,0.31445082
-5.748000053,-3.697007471,0.254065495
-5.366490735,-3.733612034,0.180325509
-6.054493372,-3.891001785,0.004898842
-5.360067545,-3.727477528,-0.058570825
-5.164750597,-3.87687072,-0.117909884
-5.58128628,-3.583586612,-0.238573854
-5.331871522,-3.704281191,-0.294020858
-5.65020972,-3.623663745,-0.486918459
-5.87138889,-4.386544428,0.400776027
-5.379356627,-4.329071592,0.312102815
-5.799737615,-3.70517924,0.255848658
-5.406701101,-3.737023218,0.181290553
-6.085788899,-3.884783916,0.004914498
-5.378882221,-3.71613102,-0.058651563
-5.181429361,-3.864593882,-0.118019415
-5.834919847,-3.72120558,-0.248926302
-5.333345012,-3.681096235,-0.293477979
-5.696631056,-3.628817904,-0.489957163
-5.867982563,-4.356012016,0.399629383
-5.419919111,-4.334384529,0.313683202
-5.821202933,-3.693793573,0.256294471
-5.417316777,-3.719852289,0.181262971
-5.159678592,-3.82686185,0.1160559
-5.04769197,-4.035843323,0.05606121
-6.101057208,-3.868236612,0.00491722
-5.391906867,-3.700742933,-0.058669504
-5.191654791,-3.847488717,-0.117982907
-5.86910318,-3.71772561,-0.249896845
-5.370978221,-3.682794161,-0.294925687
-5.79117885,-3.664117983,-0.497119854
-8.127487148,-5.125887424,0.708836482
-5.865247329,-4.326134658,0.398537366
-5.405818089,-4.295982862,0.312102815
-5.843498182,-3.68284354,0.256777417
-5.444393085,-3.71391763,0.181786865
-5.188297574,-3.823470306,0.116435231
-5.080406099,-4.036511694,0.056286739
-6.011352919,-3.785555371,0.004835539
-5.399930656,-3.681930046,-0.058633618
-5.194578117,-3.825021643,-0.117782099
-5.864409742,-3.689590574,-0.249213865
-5.405369151,-3.682046229,-0.296192434
-5.858972974,-3.681889334,-0.501967379
-7.032770284,-4.771260852,0.545404042
-5.855136082,-4.291003391,0.396953909
-5.35860469,-4.231705078,0.308625986
-5.901357138,-3.694060753,0.258820635
-5.497964581,-3.725796501,0.183193073
-5.245178878,-3.84061316,0.117446767
-5.103753862,-4.029581119,0.056408176
-6.02293862,-3.767095071,0.004835539
-5.392987219,-3.653008526,-0.05843626
-5.193377937,-3.799620952,-0.117490014
-5.874006876,-3.670522397,-0.249141982
-5.419121829,-3.667125104,-0.296328154
-5.829628458,-3.638548548,-0.498494516
-8.143544221,-5.066438866,0.707512246
-6.960482967,-4.691100155,0.538679386
-5.850514844,-4.260089153,0.395752667
-5.356630419,-4.203528073,0.307768037
-5.918603167,-3.679631783,0.25908069
-5.509369581,-3.70891144,0.183193073
-5.267447712,-3.832149739,0.117681587
-5.121599562,-4.018224931,0.056468895
-6.077788955,-3.775510537,0.004870254
-5.401679965,-3.634771095,-0.058409348
-5.200966532,-3.78073063,-0.117398744
-5.929394449,-3.679886858,-0.251011183
-5.442782917,-3.658842109,-0.297006782
-5.932317056,-3.677399734,-0.506308386
-7.399005057,-4.955200954,0.896216904
-8.185349879,-5.057681757,0.709792898
-7.004695292,-4.689710878,0.540984954
-5.82391684,-4.213441077,0.393077194
-5.925612698,-3.658831347,0.258894932
-5.285662187,-3.820657087,0.117826091
-6.089343673,-3.756846453,0.004870254
-5.455203727,-3.646522742,-0.058866862
-5.210920422,-3.763585656,-0.117362229
-5.972133207,-3.681080029,-0.252341172
-5.451490134,-3.640462394,-0.296871063
-5.988585795,-3.686895428,-0.510142932
-8.184678174,-5.022634971,0.708395109
-5.782493682,-4.156506065,0.389418869
-5.964070362,-3.657351427,0.260083717
-5.577817849,-3.705459307,0.184709564
-5.294110749,-3.802089955,0.117753843
-6.087198154,-3.729787677,0.004859363
-5.558832324,-3.691168835,-0.059862629
-5.229753214,-3.752827307,-0.117526529
-5.981693884,-3.661696986,-0.252269288
-5.460968612,-3.622615856,-0.296780583
-6.015185498,-3.677870545,-0.511445293
-5.464048767,-3.620952212,-0.538337522
-5.821220369,-4.157315897,0.391166149
-5.368970931,-4.133936819,0.30627798
-5.999160851,-3.653590819,0.261123907
-5.605846528,-3.699340959,0.185261026
-5.296797409,-3.779441913,0.117555143
-5.139348116,-3.956277111,0.056260714
-6.090069689,-3.705896552,0.004852556
-5.628561364,-3.712638796,-0.06049059
-5.24531271,-3.739667002,-0.117617799
-6.041573528,-3.672919042,-0.254318198
-5.478729976,-3.61024204,-0.297142502
-5.296086265,-3.772242389,-0.357495124
-6.039228172,-3.667163877,-0.512530515
-5.480126714,-3.607459674,-0.538828663
-7.584866666,-4.979170078,0.913139856
-6.309321607,-3.818704948,0.544042156
-5.821732562,-4.130769928,0.390347122
-5.391149574,-4.124729959,0.306819817
-6.031718633,-3.648097639,0.262052637
-5.614661756,-3.680481106,0.185178296
-5.309998996,-3.764330155,0.117591271
-5.149873102,-3.939276253,0.056243369
-6.062040999,-3.663403313,0.004821245
-5.636579314,-3.693160907,-0.060454707
-5.278790038,-3.7391611,-0.118110692
-5.063091654,-3.86799446,-0.177750123
-6.061368587,-3.659531786,-0.254677673
-5.494795454,-3.596699317,-0.297413942
-5.324750448,-3.76808878,-0.358647967
